Datum	Wtag	Sonntag	Losungsvers	Losungstext	Lehrtextvers	Lehrtext
07.07.2020	Dienstag		Psalm 31,23	Ich sprach, da ich weglief vor Angst: Ich bin verstoßen aus deinen Augen. Doch du hast mein lautes Flehen gehört, als ich zu dir schrie.	Markus 10,46-48.49	Am Wege saß ein blinder Bettler, Bartimäus, der Sohn des Timäus. Und als er hörte, dass es Jesus von Nazareth war, fing er an zu schreien und zu sagen: Jesus, du Sohn Davids, erbarme dich meiner! Und viele fuhren ihn an, er sollte schweigen. Und Jesus blieb stehen und sprach: Ruft ihn her!
08.07.2020	Mittwoch		Jesaja 29,14	Ich will auch hinfort mit diesem Volk wunderlich umgehen, aufs Wunderlichste und Seltsamste, dass die Weisheit seiner Weisen vergehe.	Markus 6,2	Viele, die Jesus zuhörten, verwunderten sich und sprachen: Woher hat er dies? Und was ist das für eine Weisheit, die ihm gegeben ist? Und solche Taten geschehen durch seine Hände?
09.07.2020	Donnerstag		Psalm 91,9	Der HERR ist deine Zuversicht.	2. Korinther 3,12	Weil wir nun solche Hoffnung haben, sind wir voller Freimut.
10.07.2020	Freitag		Psalm 145,4	Eine Generation rühmt der andern deine Werke, und deine mächtigen Taten verkünden sie.	2. Korinther 4,15	Die Gnade mehre sich durch die wachsende Zahl der Glaubenden, und so ströme der Dank reichlich zur Verherrlichung Gottes.
11.07.2020	Samstag		Psalm 29,11	Der HERR wird seinem Volk Kraft geben.	Apostelgeschichte 4,13	Sie sahen aber den Freimut des Petrus und Johannes und wunderten sich; denn sie merkten, dass sie ungelehrte und einfache Leute waren, und wussten auch von ihnen, dass sie mit Jesus gewesen waren.
12.07.2020	Sonntag	5. Sonntag nach Trinitatis	Daniel 9,7	Du, Herr, bist gerecht, wir aber müssen uns alle heute schämen.	Epheser 2,8	Aus Gnade seid ihr gerettet durch Glauben, und das nicht aus euch: Gottes Gabe ist es.
13.07.2020	Montag		Hosea 10,12	Pflüget ein Neues, solange es Zeit ist, den HERRN zu suchen, bis er kommt und Gerechtigkeit über euch regnen lässt!	Epheser 4,24	Zieht den neuen Menschen an, der nach Gott geschaffen ist in wahrer Gerechtigkeit und Heiligkeit.
14.07.2020	Dienstag		Jeremia 33,11	Man wird wieder hören den Jubel der Freude und Wonne, die Stimme des Bräutigams und der Braut und die Stimme derer, die da sagen: »Danket dem HERRN Zebaoth; denn er ist freundlich, und seine Güte währet ewiglich.«	Markus 2,19	Jesus sprach zu ihnen: Wie können die Hochzeitsgäste fasten, während der Bräutigam bei ihnen ist?
15.07.2020	Mittwoch		Sprüche 19,21	In eines Mannes Herzen sind viele Pläne; aber zustande kommt der Ratschluss des HERRN.	1. Petrus 4,7-8	So seid nun besonnen und nüchtern zum Gebet. Vor allen Dingen habt untereinander beharrliche Liebe.
16.07.2020	Donnerstag		Jesaja 55,1	Wohlan, alle, die ihr durstig seid, kommt her zum Wasser!	Johannes 4,14	/Jesus spricht:/ Wer von dem Wasser trinkt, das ich ihm gebe, den wird in Ewigkeit nicht dürsten.
17.07.2020	Freitag		5. Mose 10,17	Der HERR, euer Gott, ist der Gott der Götter und der Herr der Herren, der große, starke und furchtbare Gott, der kein Ansehen der Person kennt und keine Bestechung annimmt.	Matthäus 5,8	Selig sind, die reinen Herzens sind; denn sie werden Gott schauen.
18.07.2020	Samstag		Jesaja 43,13	Auch künftig bin ich derselbe, und niemand ist da, der aus meiner Hand erretten kann. Ich wirke; wer will’s wenden?	2. Korinther 5,10	Wir müssen alle offenbar werden vor dem Richterstuhl Christi.
19.07.2020	Sonntag	6. Sonntag nach Trinitatis	Psalm 8,5	Was ist der Mensch, dass du seiner gedenkst, und des Menschen Kind, dass du dich seiner annimmst?	Epheser 2,10	Wir sind sein Werk, geschaffen in Christus Jesus zu guten Werken, die Gott zuvor bereitet hat, dass wir darin wandeln sollen.
20.07.2020	Montag		Jesaja 46,12-13	Hört mir zu, ihr trotzigen Herzen, die ihr ferne seid von der Gerechtigkeit! Ich habe meine Gerechtigkeit nahe gebracht; sie ist nicht ferne.	Titus 2,11-12	Es ist erschienen die heilsame Gnade Gottes allen Menschen und erzieht uns, dass wir absagen dem gottlosen Wesen.
21.07.2020	Dienstag		Psalm 9,2	Ich danke dem HERRN von ganzem Herzen und erzähle alle deine Wunder.	1. Thessalonicher 5,18	Seid dankbar in allen Dingen; denn das ist der Wille Gottes in Christus Jesus für euch.
22.07.2020	Mittwoch		Hiob 9,10	Gott tut große Dinge, die nicht zu erforschen, und Wunder, die nicht zu zählen sind.	Markus 4,26-28	Mit dem Reich Gottes ist es so, wie wenn ein Mensch Samen aufs Land wirft und schläft und steht auf, Nacht und Tag; und der Same geht auf und wächst – er weiß nicht wie. Von selbst bringt die Erde Frucht.
23.07.2020	Donnerstag		Jesaja 43,10	Ihr seid meine Zeugen, spricht der HERR.	Markus 16,15	Gehet hin in alle Welt und predigt das Evangelium aller Kreatur.
24.07.2020	Freitag		Jesaja 63,19	Ach dass du den Himmel zerrissest und führest herab!	Matthäus 6,13	Erlöse uns von dem Bösen.
25.07.2020	Samstag		Sprüche 11,19	Gerechtigkeit führt zum Leben; aber dem Bösen nachjagen führt zum Tode.	Matthäus 5,6	Selig sind, die da hungert und dürstet nach der Gerechtigkeit; denn sie sollen satt werden.
26.07.2020	Sonntag	7. Sonntag nach Trinitatis	Sprüche 14,31	Wer sich des Armen erbarmt, der ehrt Gott.	Matthäus 25,40	/Jesus spricht:/ Was ihr getan habt einem von diesen meinen geringsten Brüdern, das habt ihr mir getan.
27.07.2020	Montag		Sprüche 2,6	Der HERR gibt Weisheit, und aus seinem Munde kommt Erkenntnis und Einsicht.	Jakobus 1,5	Wenn es jemandem unter euch an Weisheit mangelt, so bitte er Gott, der jedermann gern und ohne Vorwurf gibt; so wird sie ihm gegeben werden.
28.07.2020	Dienstag		1. Samuel 7,12	Bis hierher hat uns der HERR geholfen.	2. Korinther 4,8	Wir sind von allen Seiten bedrängt, aber wir ängstigen uns nicht. Uns ist bange, aber wir verzagen nicht.
29.07.2020	Mittwoch		Hiob 1,21	Ich bin nackt von meiner Mutter Leibe gekommen, nackt werde ich wieder dahinfahren.	1. Timotheus 6,7-8	Wir haben nichts in die Welt gebracht; darum können wir auch nichts hinausbringen. Wenn wir aber Nahrung und Kleider haben, so wollen wir uns damit begnügen.
30.07.2020	Donnerstag		Zefanja 1,7	Seid stille vor Gott dem HERRN, denn des HERRN Tag ist nahe.	Markus 4,9	Wer Ohren hat zu hören, der höre!
31.07.2020	Freitag		2. Mose 23,1	Du sollst kein falsches Gerücht verbreiten.	2. Timotheus 2,15	/Paulus schreibt:/ Bemühe dich darum, dich vor Gott zu erweisen als ein angesehener und untadeliger Arbeiter, der das Wort der Wahrheit recht vertritt.
01.08.2020	Samstag		Jesaja 66,18	Ich komme, um alle Völker und Zungen zu versammeln, dass sie kommen und meine Herrlichkeit sehen.	Römer 10,12	Es ist hier kein Unterschied zwischen Juden und Griechen; es ist über alle derselbe Herr, reich für alle, die ihn anrufen.
02.08.2020	Sonntag	8. Sonntag nach Trinitatis	5. Mose 32,7	Gedenke der vorigen Zeiten und hab acht auf die Jahre von Geschlecht zu Geschlecht. Frage deinen Vater, der wird dir’s verkünden, deine Ältesten, die werden dir’s sagen.	2. Timotheus 1,13	/Paulus schreibt:/ Halte dich an das Vorbild der heilsamen Worte, die du von mir gehört hast, im Glauben und in der Liebe in Christus Jesus.
03.08.2020	Montag		Sprüche 3,34	Den Demütigen wird der HERR Gnade geben.	Philipper 2,3	Tut nichts aus Eigennutz oder um eitler Ehre willen, sondern in Demut achte einer den andern höher als sich selbst.
04.08.2020	Dienstag		Psalm 26,12	Ich will den HERRN loben in den Versammlungen.	1. Korinther 14,26	Wie ist es nun, Brüder und Schwestern? Wenn ihr zusammenkommt, so hat ein jeder einen Psalm, er hat eine Lehre, er hat eine Offenbarung, er hat eine Zungenrede, er hat eine Auslegung. Lasst es alles geschehen zur Erbauung!
05.08.2020	Mittwoch		2. Chronik 30,18-19	Der HERR, der gütig ist, wolle gnädig sein allen, die ihr Herz darauf richten, Gott zu suchen.	Lukas 19,2-3	Da war ein Mann mit Namen Zachäus, der war ein Oberer der Zöllner und war reich. Und er begehrte, Jesus zu sehen.
06.08.2020	Donnerstag		Psalm 103,10	Er handelt nicht mit uns nach unsern Sünden und vergilt uns nicht nach unsrer Missetat.	Apostelgeschichte 15,11	Wir glauben, durch die Gnade des Herrn Jesus selig zu werden.
07.08.2020	Freitag		Sacharja 1,17	Der HERR wird Zion wieder trösten.	2. Korinther 1,10	Aus großer Todesnot hat er uns errettet und wird er uns erretten; auf ihn haben wir unsere Hoffnung gesetzt.
08.08.2020	Samstag		Psalm 25,15	Meine Augen sehen stets auf den HERRN; denn er wird meinen Fuß aus dem Netze ziehen.	2. Thessalonicher 3,1-3	/Paulus schreibt:/ Betet für uns, dass das Wort des Herrn laufe und gepriesen werde wie bei euch und dass wir gerettet werden vor falschen und bösen Menschen; denn der Glaube ist nicht jedermanns Ding. Aber der Herr ist treu; der wird euch stärken und bewahren vor dem Bösen.
09.08.2020	Sonntag	9. Sonntag nach Trinitatis	Psalm 105,40-42	Der HERR sättigte sein Volk mit Himmelsbrot. Er öffnete den Felsen, da strömten Wasser heraus, sie flossen dahin als Strom in der Wüste. Denn er gedachte an sein heiliges Wort.	Epheser 1,3	Gelobt sei Gott, der Vater unseres Herrn Jesus Christus, der uns gesegnet hat mit allem geistlichen Segen im Himmel durch Christus.
10.08.2020	Montag		Richter 8,23	Gideon sprach: Ich will nicht Herrscher über euch sein, sondern der HERR soll Herrscher über euch sein.	2. Korinther 10,18	Nicht der ist bewährt, der sich selbst empfiehlt, sondern der, den der Herr empfiehlt.
11.08.2020	Dienstag		Psalm 68,4	Die Gerechten freuen sich und sind fröhlich vor Gott und freuen sich von Herzen.	Philipper 4,4	Freuet euch in dem Herrn allewege, und abermals sage ich: Freuet euch!
12.08.2020	Mittwoch		1. Könige 8,52	Lass deine Augen offen sein für das Flehen deines Knechts und deines Volkes Israel, dass du sie hörst, sooft sie dich anrufen.	Johannes 14,14	/Jesus spricht:/ Was ihr mich bitten werdet in meinem Namen, das will ich tun.
13.08.2020	Donnerstag		Jesaja 53,5	Durch seine Wunden sind wir geheilt.	Johannes 11,51-52	Jesus sollte sterben für das Volk und nicht für das Volk allein, sondern auch, um die verstreuten Kinder Gottes zusammenzubringen.
14.08.2020	Freitag		Psalm 73,25	Wenn ich nur dich habe, so frage ich nichts nach Himmel und Erde.	Johannes 6,67-69	Da sprach Jesus zu den Zwölfen: Wollt ihr auch weggehen? Da antwortete ihm Simon Petrus: Herr, wohin sollen wir gehen? Du hast Worte des ewigen Lebens; und wir haben geglaubt und erkannt: Du bist der Heilige Gottes.
15.08.2020	Samstag		Sacharja 7,10	Bedrückt nicht die Witwen, Waisen, Fremdlinge und Armen!	1. Korinther 1,28	Was gering ist vor der Welt und was verachtet ist, das hat Gott erwählt.
16.08.2020	Sonntag	10. Sonntag nach Trinitatis (Israelsonntag)	Psalm 136,23	Der HERR dachte an uns, als wir unterdrückt waren, denn seine Güte währet ewiglich.	Hebräer 13,3	Denkt an die Gefangenen, als wärt ihr Mitgefangene, und an die Misshandelten, weil auch ihr noch im Leibe lebt.
17.08.2020	Montag		Sacharja 8,23	Wir wollen mit euch gehen, denn wir haben gehört, dass Gott mit euch ist.	Apostelgeschichte 2,46-47	Sie waren täglich einmütig beieinander im Tempel und brachen das Brot hier und dort in den Häusern, hielten die Mahlzeiten mit Freude und lauterem Herzen und lobten Gott und fanden Wohlwollen beim ganzen Volk.
18.08.2020	Dienstag		Psalm 100,5	Der HERR ist freundlich, und seine Gnade währet ewig und seine Wahrheit für und für.	Titus 3,4.5	Als aber erschien die Freundlichkeit und Menschenliebe Gottes, unseres Heilands, machte er uns selig - nicht um der Werke willen, die wir in Gerechtigkeit getan hätten, sondern nach seiner Barmherzigkeit.
19.08.2020	Mittwoch		2. Mose 33,13	/Mose sprach zu dem HERRN:/ Sieh doch, dass dies Volk dein Volk ist.	2. Thessalonicher 2,14	/Paulus schreibt:/ Gott hat euch berufen durch unser Evangelium, damit ihr die Herrlichkeit unseres Herrn Jesus Christus erlangt.
20.08.2020	Donnerstag		Sprüche 10,12	Hass erregt Hader; aber Liebe deckt alle Übertretungen zu.	Johannes 13,35	Daran wird jedermann erkennen, dass ihr meine Jünger seid, wenn ihr Liebe untereinander habt.
21.08.2020	Freitag		Jesaja 47,13	Du hast dich müde gemacht mit der Menge deiner Pläne.	Matthäus 18,1-3	Die Jünger traten zu Jesus und sprachen: Wer ist nun der Größte im Himmelreich? Und er rief ein Kind zu sich und stellte es mitten unter sie und sprach: Wahrlich, ich sage euch: Wenn ihr nicht umkehrt und werdet wie die Kinder, so werdet ihr nicht ins Himmelreich kommen.
22.08.2020	Samstag		Daniel 2,47	Der König antwortete Daniel und sprach: Wahrhaftig, euer Gott ist ein Gott über alle Götter und ein Herr über alle Könige.	Philipper 2,10	In dem Namen Jesu sollen sich beugen aller derer Knie, die im Himmel und auf Erden und unter der Erde sind.
23.08.2020	Sonntag	11. Sonntag nach Trinitatis	Psalm 62,9	Hoffet auf ihn allezeit, liebe Leute, schüttet euer Herz vor ihm aus; Gott ist unsre Zuversicht.	1. Johannes 5,14	Das ist die Zuversicht, mit der wir vor ihm reden: Wenn wir um etwas bitten nach seinem Willen, so hört er uns.
24.08.2020	Montag		Psalm 23,5	Du bereitest vor mir einen Tisch im Angesicht meiner Feinde. Du salbest mein Haupt mit Öl und schenkest mir voll ein.	Markus 14,3-4.6	Als Jesus in Betanien war im Hause Simons des Aussätzigen und saß zu Tisch, da kam eine Frau, die hatte ein Alabastergefäß mit unverfälschtem, kostbarem Nardenöl, und sie zerbrach das Gefäß und goss das Öl auf sein Haupt. Da wurden einige unwillig und sprachen untereinander: Was soll diese Vergeudung des Salböls? Jesus aber sprach: Lasst sie! Was bekümmert ihr sie? Sie hat ein gutes Werk an mir getan.
25.08.2020	Dienstag		1. Samuel 2,1	HERR, ich freue mich über deine Hilfe.	Lukas 1,46-48	/Maria sprach:/ Meine Seele erhebt den Herrn, und mein Geist freuet sich Gottes, meines Heilandes; denn er hat die Niedrigkeit seiner Magd angesehen.
26.08.2020	Mittwoch		Jesaja 43,24-25	Mir hast du Arbeit gemacht mit deinen Sünden und hast mir Mühe gemacht mit deinen Missetaten. Ich, ich tilge deine Übertretungen um meinetwillen und gedenke deiner Sünden nicht.	Kolosser 1,21-22	Einst standet ihr Gott fremd und feindlich gegenüber und habt das durch eure bösen Taten gezeigt. Aber weil Christus in seinem menschlichen Leib den Tod auf sich nahm, hat Gott jetzt mit euch Frieden gemacht.
27.08.2020	Donnerstag		Josua 24,17	Der HERR, unser Gott, hat uns behütet auf dem ganzen Wege, den wir gegangen sind.	Matthäus 28,20	Siehe, ich bin bei euch alle Tage bis an der Welt Ende.
28.08.2020	Freitag		Psalm 63,2	Gott, du bist mein Gott, den ich suche. Es dürstet meine Seele nach dir.	Johannes 7,37	/Jesus spricht:/ Wen da dürstet, der komme zu mir und trinke!
29.08.2020	Samstag		2. Chronik 32,24-25	Hiskia wurde todkrank; und er betete zum HERRN. Der redete mit ihm und gab ihm ein Wunderzeichen. Aber Hiskia vergalt nicht nach dem, was ihm geschehen war; denn sein Herz überhob sich.	Lukas 17,15-16	Einer unter ihnen, als er sah, dass er gesund geworden war, kehrte er um und pries Gott mit lauter Stimme und fiel nieder auf sein Angesicht zu Jesu Füßen und dankte ihm.
30.08.2020	Sonntag	12. Sonntag nach Trinitatis	Jesaja 32,17	Das Werk der Gerechtigkeit wird Friede sein und die Frucht des Rechtes Sicherheit auf ewig.	Römer 14,17	Das Reich Gottes ist nicht Essen und Trinken, sondern Gerechtigkeit und Friede und Freude im Heiligen Geist.
31.08.2020	Montag		Psalm 100,3	Erkennet, dass der HERR Gott ist!	Apostelgeschichte 17,27-28	Er ist nicht ferne von einem jeden unter uns. Denn in ihm leben, weben und sind wir.
01.09.2020	Dienstag		Jesaja 11,10	Es wird geschehen zu der Zeit, dass die Wurzel Isais dasteht als Zeichen für die Völker.	Markus 1,10-11	Als Jesus aus dem Wasser stieg, sah er, dass sich der Himmel auftat und der Geist wie eine Taube herabkam auf ihn. Und da geschah eine Stimme vom Himmel: Du bist mein lieber Sohn, an dir habe ich Wohlgefallen.
02.09.2020	Mittwoch		Psalm 148,3.5	Lobet ihn, Sonne und Mond, lobet ihn, alle leuchtenden Sterne! Denn er gebot, da wurden sie geschaffen.	Offenbarung 4,11	Herr, unser Gott, du bist würdig, zu nehmen Preis und Ehre und Kraft; denn du hast alle Dinge geschaffen, und durch deinen Willen waren sie und wurden sie geschaffen.
03.09.2020	Donnerstag		Sprüche 12,25	Sorge im Herzen bedrückt den Menschen; aber ein freundliches Wort erfreut ihn.	Epheser 4,32	Seid aber untereinander freundlich und herzlich und vergebt einer dem andern, wie auch Gott euch vergeben hat in Christus.
04.09.2020	Freitag		4. Mose 6,24	Der HERR segne dich und behüte dich.	Johannes 1,16	Von seiner Fülle haben wir alle genommen Gnade um Gnade.
05.09.2020	Samstag		Jesaja 25,4	HERR, du bist der Armen Schutz gewesen in der Trübsal, eine Zuflucht vor dem Ungewitter, ein Schatten vor der Hitze, wenn die Tyrannen wüten.	Offenbarung 2,8-9	Das sagt der Erste und der Letzte, der tot war und ist lebendig geworden: Ich kenne deine Bedrängnis und deine Armut.
06.09.2020	Sonntag	13. Sonntag nach Trinitatis	Psalm 121,7	Der HERR behüte dich vor allem Übel, er behüte deine Seele.	1. Thessalonicher 5,23	Der Gott des Friedens heilige euch durch und durch und bewahre euren Geist samt Seele und Leib unversehrt, untadelig für das Kommen unseres Herrn Jesus Christus.
07.09.2020	Montag		Jeremia 32,19	Deine Augen stehen offen über allen Wegen der Menschenkinder.	1. Timotheus 4,10	Wir haben unsre Hoffnung auf den lebendigen Gott gesetzt, welcher ist der Heiland aller Menschen, besonders der Gläubigen.
08.09.2020	Dienstag		Hesekiel 20,44	Ihr werdet erfahren, dass ich der HERR bin, wenn ich so an euch handle zur Ehre meines Namens und nicht nach euren bösen Wegen und verderblichen Taten.	Lukas 6,35	Er ist gütig gegen die Undankbaren und Bösen.
09.09.2020	Mittwoch		Jesaja 47,13-14	Es sollen hertreten und dir helfen die Sterngucker, die an jedem Neumond kundtun, was über dich kommen werde! Siehe, sie sind wie Stoppeln, die das Feuer verbrennt.	Hebräer 13,9	Lasst euch nicht durch mancherlei und fremde Lehren umtreiben, denn es ist ein köstlich Ding, dass das Herz fest werde, welches geschieht durch Gnade.
10.09.2020	Donnerstag		1. Mose 9,13	Gott sprach: Meinen Bogen habe ich gesetzt in die Wolken; der soll das Zeichen sein des Bundes zwischen mir und der Erde.	Hebräer 6,18	So sollten wir einen starken Trost haben, die wir unsre Zuflucht dazu genommen haben, festzuhalten an der angebotenen Hoffnung.
11.09.2020	Freitag		Psalm 39,13	Höre mein Gebet, HERR, und vernimm mein Schreien, schweige nicht zu meinen Tränen.	Matthäus 15,25	Die kanaanäische Frau fiel vor Jesus nieder und sprach: Herr, hilf mir!
12.09.2020	Samstag		Psalm 24,1	Die Erde ist des HERRN und was darinnen ist, der Erdkreis und die darauf wohnen.	Epheser 5,15	So seht nun sorgfältig darauf, wie ihr euer Leben führt, nicht als Unweise, sondern als Weise.
13.09.2020	Sonntag	14. Sonntag nach Trinitatis	Jeremia 32,17	Ach HERR, siehe, du hast Himmel und Erde gemacht durch deine große Kraft und durch deinen ausgereckten Arm, und es ist kein Ding vor dir unmöglich.	Matthäus 28,18-20	/Jesus spricht:/ Mir ist gegeben alle Gewalt im Himmel und auf Erden. Darum gehet hin und lehret alle Völker: Taufet sie auf den Namen des Vaters und des Sohnes und des Heiligen Geistes und lehret sie halten alles, was ich euch befohlen habe.
14.09.2020	Montag		Jesaja 41,16	Du wirst fröhlich sein über den HERRN und wirst dich rühmen des Heiligen Israels.	Römer 5,11	Wir rühmen uns auch Gottes durch unsern Herrn Jesus Christus, durch den wir jetzt die Versöhnung empfangen haben.
15.09.2020	Dienstag		1. Mose 12,4	Abram zog aus, wie der HERR zu ihm gesagt hatte.	Galater 3,7	Die aus dem Glauben sind, das sind Abrahams Kinder.
16.09.2020	Mittwoch		Sprüche 3,9	Ehre den HERRN mit deinem Gut.	Lukas 6,35	Leiht, ohne etwas dafür zu erhoffen. So wird euer Lohn groß sein, und ihr werdet Kinder des Höchsten sein.
17.09.2020	Donnerstag		Jesaja 41,13	Ich bin der HERR, dein Gott, der deine rechte Hand fasst und zu dir spricht: Fürchte dich nicht, ich helfe dir!	Matthäus 14,30-31	Als Petrus den starken Wind sah, erschrak er und begann zu sinken und schrie: Herr, rette mich! Jesus aber streckte sogleich die Hand aus und ergriff ihn.
18.09.2020	Freitag		Jesaja 61,8	Ich bin der HERR, der das Recht liebt und Raub und Unrecht hasst.	1. Thessalonicher 4,6	Niemand gehe zu weit und übervorteile seinen Bruder im Handel. Denn der Herr straft dies alles.
19.09.2020	Samstag		Hiob 9,4	Gott ist weise und mächtig; wer stellte sich ihm entgegen und blieb unversehrt?	Römer 12,16	Trachtet nicht nach hohen Dingen, sondern haltet euch zu den niedrigen. Haltet euch nicht selbst für klug.
20.09.2020	Sonntag	15. Sonntag nach Trinitatis	2. Mose 20,12	Du sollst deinen Vater und deine Mutter ehren.	Römer 15,7	Nehmt einander an, wie Christus euch angenommen hat zu Gottes Ehre.
21.09.2020	Montag		Psalm 88,9-10	Ich liege gefangen und kann nicht heraus, mein Auge vergeht vor Elend. HERR, ich rufe zu dir täglich.	Johannes 17,15	/Jesus betet:/ Ich bitte nicht, dass du sie aus der Welt nimmst, sondern dass du sie bewahrst vor dem Bösen.
22.09.2020	Dienstag		Psalm 13,2	HERR, wie lange willst du mich so ganz vergessen? Wie lange verbirgst du dein Antlitz vor mir?	Johannes 16,33	In der Welt habt ihr Angst; aber seid getrost, ich habe die Welt überwunden.
23.09.2020	Mittwoch		Jesaja 25,8	Er wird den Tod verschlingen auf ewig.	2. Korinther 5,4	Wir sind bedrückt und stöhnen, solange wir noch in diesem Körper leben; wir wollen aber nicht von unserem sterblichen Körper befreit werden, sondern in den unvergänglichen Körper hineinschlüpfen. Was an uns vergänglich ist, soll vom Leben verschlungen werden.
24.09.2020	Donnerstag		Jeremia 6,13-14	Sie gieren alle, Klein und Groß, nach unrechtem Gewinn, und Propheten und Priester gehen alle mit Lüge um und heilen den Schaden meines Volks nur obenhin, indem sie sagen: »Friede! Friede!«, und ist doch nicht Friede.	Lukas 6,44-45	Ein jeder Baum wird an seiner eigenen Frucht erkannt. Denn man pflückt nicht Feigen von den Dornen, auch liest man nicht Trauben von den Hecken. Ein guter Mensch bringt Gutes hervor aus dem guten Schatz seines Herzens.
25.09.2020	Freitag		Psalm 119,165	Großen Frieden haben, die dein Gesetz lieben; sie werden nicht straucheln.	Kolosser 3,16	Lasst das Wort Christi reichlich unter euch wohnen: Lehrt und ermahnt einander in aller Weisheit.
26.09.2020	Samstag		Jeremia 30,11	Ich bin bei dir, spricht der HERR, dass ich dir helfe.	2. Timotheus 4,16-17	/Paulus schreibt:/ Bei meinem ersten Verhör stand mir niemand bei, sondern sie verließen mich alle. Es sei ihnen nicht zugerechnet. Der Herr aber stand mir bei und stärkte mich.
27.09.2020	Sonntag	16. Sonntag nach Trinitatis	Psalm 98,2	Der HERR lässt sein Heil verkündigen; vor den Völkern macht er seine Gerechtigkeit offenbar.	Apostelgeschichte 14,27	Als Barnabas und Paulus in Antiochia angekommen waren und die Gemeinde versammelt hatten, berichteten sie, was Gott alles durch sie getan und dass er allen Völkern die Tür zum Glauben aufgetan habe.
28.09.2020	Montag		Prediger 12,1	Denk an deinen Schöpfer in deiner Jugend, ehe die bösen Tage kommen und die Jahre sich nahen, da du wirst sagen: »Sie gefallen mir nicht.«	Johannes 1,45-46	Philippus findet Nathanael und spricht zu ihm: Wir haben den gefunden, von dem Mose im Gesetz und die Propheten geschrieben haben, Jesus, Josefs Sohn, aus Nazareth. Und Nathanael sprach zu ihm: Was kann aus Nazareth Gutes kommen! Philippus spricht zu ihm: Komm und sieh!
29.09.2020	Dienstag	Michaelistag	Sacharja 8,19	Liebt Wahrheit und Frieden!	Johannes 8,32	Ihr werdet die Wahrheit erkennen, und die Wahrheit wird euch frei machen.
30.09.2020	Mittwoch		Psalm 116,10	Ich glaube, auch wenn ich sage: Ich werde sehr geplagt.	Jakobus 1,12	Selig ist, wer Anfechtung erduldet; denn nachdem er bewährt ist, wird er die Krone des Lebens empfangen, die Gott verheißen hat denen, die ihn lieb haben.
01.10.2020	Donnerstag		2. Chronik 34,27	Weil dein Herz weich geworden ist und du dich gedemütigt hast vor Gott, so habe ich dich auch erhört, spricht der HERR.	1. Korinther 15,9-10	/Paulus schreibt:/ Ich bin der geringste unter den Aposteln, der ich nicht wert bin, dass ich ein Apostel heiße, weil ich die Gemeinde Gottes verfolgt habe. Aber durch Gottes Gnade bin ich, was ich bin.
02.10.2020	Freitag		Jesaja 57,18	Ihre Wege habe ich gesehen, aber ich will sie heilen und sie leiten und ihnen wieder Trost geben.	Markus 2,17	/Jesus spricht:/ Nicht die Starken bedürfen des Arztes, sondern die Kranken. Ich bin nicht gekommen, Gerechte zu rufen, sondern Sünder.
03.10.2020	Samstag		Jesaja 9,1	Das Volk, das im Finstern wandelt, sieht ein großes Licht, und über denen, die da wohnen im finstern Lande, scheint es hell.	1. Petrus 2,9	Ihr sollt die Wohltaten dessen verkündigen, der euch berufen hat aus der Finsternis in sein wunderbares Licht.
04.10.2020	Sonntag	Erntedankfest	Sprüche 3,5-6	Verlass dich auf den HERRN von ganzem Herzen, und verlass dich nicht auf deinen Verstand, sondern gedenke an ihn in allen deinen Wegen, so wird er dich recht führen.	1. Petrus 1,13	Darum umgürtet die Hüften eurer Vernunft, seid nüchtern und hofft ganz und gar auf die Gnade, die auf euch zukommt bei der Offenbarung Jesu Christi!
05.10.2020	Montag		Hesekiel 3,10	Du Menschenkind, alle meine Worte, die ich dir sage, die fasse mit dem Herzen und nimm sie zu Ohren!	Hebräer 2,1	Wir sollen desto mehr achten auf das Wort, das wir hören, damit wir nicht am Ziel vorbeitreiben.
06.10.2020	Dienstag		Hesekiel 39,29	Ich will mein Angesicht nicht mehr vor ihnen verbergen; denn ich habe meinen Geist über das Haus Israel ausgegossen, spricht Gott der HERR.	1. Korinther 12,4-7	Es sind verschiedene Gaben; aber es ist ein Geist. Und es sind verschiedene Ämter; aber es ist ein Herr. Und es sind verschiedene Kräfte; aber es ist ein Gott, der da wirkt alles in allen. Durch einen jeden offenbart sich der Geist zum Nutzen aller.
07.10.2020	Mittwoch		Hesekiel 18,23	Meinst du, dass ich Gefallen habe am Tode des Gottlosen, spricht Gott der HERR, und nicht vielmehr daran, dass er sich bekehrt von seinen Wegen und am Leben bleibt?	Johannes 12,46	Ich bin als Licht in die Welt gekommen, auf dass, wer an mich glaubt, nicht in der Finsternis bleibe.
08.10.2020	Donnerstag		Josua 24,22	Josua sprach zum Volk: Ihr seid Zeugen gegen euch selbst, dass ihr euch den HERRN erwählt habt, um ihm zu dienen. Und sie sprachen: Ja!	Kolosser 2,18	Lasst euch den Siegespreis von niemandem nehmen.
09.10.2020	Freitag		Jesaja 49,4	Ich dachte, ich arbeitete vergeblich und verzehrte meine Kraft umsonst und unnütz. Doch mein Recht ist bei dem HERRN und mein Lohn bei meinem Gott.	1. Korinther 15,58	Seid fest und unerschütterlich und nehmt immer zu in dem Werk des Herrn, denn ihr wisst, dass eure Arbeit nicht vergeblich ist in dem Herrn.
